ts_code,open,high,low,close,pct_chg,vol,amount,volume_obv,volume_cmf,volume_vpt,volume_vwap,volume_mfi,volatility_bbw,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_adx,trend_adx_pos,trend_adx_neg,momentum_rsi,momentum_wr,momentum_roc,momentum_ao,momentum_ppo_hist,trend_cci,trend_aroon_up,trend_aroon_down,trend_aroon_ind
603881.SH,30.03,31.19,29.86,29.94,-0.2997,277794.21,840515.616,1082156.48,-0.069381627,-4855.737457,31.88879308,42.04800227,18.12524637,1.50323944,9.91017475,0.179712369,0.633431629,-0.45371926,23.97676427,17.25674142,17.03469132,46.15263696,-88.29953198,-7.50695088,-0.628676471,-1.479525413,-78.40495756,64,0,64
603881.SH,29.48,30.88,29.47,30.03,1.8311,320302.78,969090.598,1402459.26,-0.083215532,-3892.903449,31.74647256,41.55158894,18.70731156,1.493915496,10.58745389,0.093302473,0.525405798,-0.432103325,22.623084,16.06697455,17.76722439,46.6226593,-86.89547582,-10.41169451,-0.555764706,-1.407874086,-83.8845199,60,80,-20
603881.SH,30.05,30.35,29.1,29.49,-3.4065,249166.34,738920.735,1153292.92,-0.096564678,-8373.417055,31.61025956,41.6606934,19.63436243,1.469523947,11.34714676,-0.018537788,0.416617081,-0.435154868,21.73548002,15.07470968,18.49799344,44.13346922,-94,-12.51854049,-0.666764706,-1.41776802,-100.8481469,56,100,-44
603881.SH,30.52,30.9,29.89,30.53,0.0328,292069.91,886969.158,1445362.83,-0.093014628,1926.776447,31.44983621,41.47796324,19.85135638,1.463571552,11.8303365,-0.022987703,0.328696124,-0.351683827,20.28018942,16.74486158,17.20708732,49.70310109,-78,-12.52148997,-0.690441176,-1.145853302,-58.58107943,52,96,-44
603881.SH,30.95,31.13,30.3,30.52,0.2958,290758.17,890968.387,1154604.66,-0.078097753,1831.539575,31.10148261,37.31661955,20.10034921,1.400214397,12.29663764,-0.027009857,0.257554928,-0.284564785,18.98667312,17.20944206,16.47809862,49.65184311,-78.15384615,-6.005543579,-0.651970588,-0.927209194,-44.37764634,48,92,-44
603881.SH,29.39,31.18,29.39,30.43,1.6366,399220.29,1209260.682,755384.37,-0.07048038,654.2844608,30.64657911,25.82427767,19.75501233,1.439192957,12.41075214,-0.0370328,0.198637382,-0.235670182,18.41896369,15.66780799,19.55608203,49.16045896,-64.34316354,-4.09706902,-0.735117647,-0.768006158,-54.75818771,44,88,-44
603881.SH,30.23,31,29.6,29.94,1.9061,503229.7,1525997.511,252154.67,-0.063866704,-7448.98708,30.45380098,25.78761207,19.64528605,1.435273661,12.3627311,-0.083551826,0.14219954,-0.225751366,17.89180493,14.56857144,18.18404835,46.46431217,-73.07692308,-3.044041451,-0.759823529,-0.736391672,-58.0840222,40,84,-44
603881.SH,26.88,29.97,25.43,29.38,6.4107,650901.26,1827909.613,-398746.59,-0.028684087,-19623.49295,30.06731816,25.44879421,19.65206306,1.745746295,12.20412258,-0.163718563,0.08101592,-0.244734483,19.99026132,11.70150824,32.68139089,43.52628482,-35.35188216,-2.940204823,-1.130705882,-0.800285433,-151.1240595,36,100,-64
603881.SH,28.55,29.57,26.97,27.61,-7.8745,558310.62,1555298.513,-957057.21,-0.034033991,-53258.95235,29.78412588,25.04513209,21.63026784,1.831171666,12.16944012,-0.365858103,-0.008358885,-0.357499218,21.93882796,10.43498203,29.14408293,35.81727226,-62.15277778,-6.247877759,-1.527176471,-1.177837397,-154.2901978,32,96,-64
603881.SH,30,31.02,29.97,29.97,-10,188269.26,567577.544,-768787.95,-0.053523094,-37166.39699,29.76470702,30.12125087,20.28858368,1.989054499,11.67657019,-0.331798106,-0.073046729,-0.258751377,22.26422652,14.68983836,25.27946988,48.83042156,-21.18055556,-1.737704918,-1.609264706,-0.852788907,-21.52227461,28,92,-64
603881.SH,32.49,33.89,32.45,33.3,0.5738,378564.7,1257605.847,-390223.25,-0.000767764,4896.347455,30.02248676,37.60616144,19.79987815,2.182149049,10.90521235,-0.035690723,-0.065575528,0.029884805,20.87030871,22.94253699,21.71474,60.88229417,-6.973995272,11.11111111,-1.139323529,0.102139033,186.3702226,24,88,-64
603881.SH,33.14,34.1,33,33.11,-1.0756,320204.11,1071485.45,-710427.36,-0.078281037,3069.357038,30.20464316,37.44302929,16.9948016,2.073934144,10.37272849,0.181552278,-0.016149967,0.197702245,19.70023846,22.78511303,20.82721388,60.01375868,-11.41868512,6.737588652,-0.602264706,0.649301653,217.4443428,20,84,-64
603881.SH,34.45,34.49,33.3,33.47,-3.9323,484603.59,1636246.158,-225823.77,-0.153745934,8338.378252,30.52381518,45.95605894,18.14549807,2.00454073,9.661273831,0.378405885,0.062761204,0.315644682,18.84942808,23.07166187,19.73731628,61.14480208,-11.25827815,11.79024716,0.522029412,1.026535708,213.3934057,16,80,-64
603881.SH,31.97,35.25,31.7,34.84,5.6718,735665.96,2458557.466,509842.19,-0.100223242,38450.78833,30.96309769,50.36696672,21.552483,2.159086657,9.193027793,0.637611351,0.177731233,0.459880118,17.9662222,20.15039031,22.94492583,65.18112724,-4.175152749,16.01731602,1.476705882,1.477524126,184.2059589,12,76,-64
603881.SH,32.64,34.2,32.64,32.97,0.7641,508431.09,1698556.036,1411.1,-0.125464237,11161.28952,31.19249243,48.03539592,22.39340428,2.163177991,8.493659967,0.684252541,0.279035495,0.405217046,17.14610246,18.58029949,21.15708863,56.54641587,-23.21792261,11.80061038,1.985235294,1.294235739,121.0666332,8,72,-64
603881.SH,33.8,34.34,32.65,32.72,-1.4161,484593.59,1619559.189,-483182.49,-0.18501792,7486.785505,31.4128735,46.40183499,22.84534301,2.115860192,7.802471846,0.693054014,0.361839199,0.331214816,16.28370863,17.95679318,19.87588962,55.48811533,-25.76374745,7.173272191,1.978176471,1.051913364,100.6545411,4,68,-64
603881.SH,32.6,33.47,32.55,33.19,1.3745,384149.38,1274056.593,-99033.11,-0.141630265,13004.82366,31.58711988,45.13778325,23.06796888,1.996274173,6.731772263,0.729544581,0.435380275,0.294164306,15.55137609,17.34115641,19.56711375,57.11317879,-20.97759674,8.74836173,1.809441176,0.926676906,80.68411823,0,64,-64
603881.SH,35.23,35.24,32.43,32.74,-7.1206,678034.83,2269165.367,-777067.94,-0.205419999,3811.823559,31.83262073,48.76147095,23.31606153,2.077646756,6.059103609,0.713922723,0.491088765,0.222833958,15.2321453,21.96727051,17.58412722,55.04121715,-25.56008147,7.591192902,1.714205882,0.696563375,85.39571026,84,60,24
603881.SH,36.31,36.8,34.87,35.25,-5.6225,679232.58,2415077.08,-97835.36,-0.212936106,55884.93828,32.25398985,52.25606187,25.26362603,2.27588208,5.046018343,0.893775424,0.571626096,0.322149327,15.7794277,24.20877803,15.1890096,63.08551409,-13.63236588,17.73547094,2.084,0.993230099,144.7641207,100,56,44
